"Time","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14"
10337.7048,350.08625498008,181.80151636073,307.93057936919,170.93019357414,294.72764292558,334.92984134577,202.42609216038,179.97965209065,307.61555333998,176.39798810427,177.93300347153,191.30253073607,361.02077269646,224.04523515098
10347.7122,347.73645418327,181.79604948125,305.48805773755,171.17816803033,293.72225327371,331.8896197082,201.00817873529,180.03606766677,304.95720837488,176.55211368808,177.94700929732,191.63639629571,353.45137753678,222.76325342056
10357.7197,348.41597609562,181.73858739026,300.6587184497,170.8643384554,293.40709837113,325.71777086821,201.05094753641,179.68831790616,298.58476570289,176.31611512515,177.87394756793,191.34596040236,350.12838403572,219.72463999362
10367.7272,345.77458167331,181.60598563448,297.94593085849,171.00738375574,291.77531140211,322.3417045364,199.46690604429,180.05493935525,296.31732801595,176.47095924314,177.94980248194,191.47712757465,342.19803835573,218.72220670948
10377.7346,346.1784063745,181.53723064645,292.64244985845,170.65579724606,291.59489779623,316.63593239257,199.23056054259,179.5366661347,290.56765702891,176.06430881003,177.98727105862,191.24636755549,338.57637255293,215.54206390363
10387.7421,343.36402390438,181.6045490822,289.92563499342,170.51239273598,289.61501916321,312.54747668022,198.01164971075,180.05015161187,287.90476570289,176.17208893857,177.67874386497,191.1970700942,331.28511622344,214.62136503251
10397.7495,343.49501992032,181.0557462091,284.24494597073,170.19257633207,289.07321941872,306.65805628638,197.86084181129,179.21931854453,281.90743768694,175.90627120674,177.87797773433,191.01640587578,327.45552410191,211.7316606167
10407.757,340.64501992032,181.46747805267,282.01890027513,170.30329275594,287.11633663366,303.0520210476,196.82681029324,180.0610038302,279.77088733799,175.84623368329,177.5140257771,190.92443717069,320.47916749731,211.00235350433
10417.7645,340.28593625498,181.07334397446,276.55034092268,170.0421073638,286.35835196423,297.5759786335,196.65166566926,179.26404404724,274.47537387837,175.66727875135,177.82375004988,190.76752355101,316.57980144332,208.36044517133
10427.7719,337.47924302789,181.43798882682,274.51022768053,169.92544402315,283.66979399553,293.77154588217,195.67919409535,179.85576923077,272.25296111665,175.87533431799,177.54255616296,190.95197988185,310.59690602448,207.55690294786
10437.7794,337.44725099602,180.86304868316,269.05323178755,169.8614248653,282.84050622804,289.0659730527,195.83175743068,179.19729492499,267.14532402792,175.90603169534,177.7654522964,190.90411943158,306.81659423468,205.30563644342
10447.7868,334.29828685259,181.31252992817,266.84237808525,169.73542207144,279.98275311402,285.35087299689,194.72822661081,179.84204436642,264.939222333,175.91437467566,177.58461354296,190.91298099952,301.08799489654,204.91419681679
10457.7943,333.46470119522,180.97589784517,262.01977750309,169.78451406905,278.55561322261,280.91489276888,194.88932774786,179.06391637408,260.87752741775,175.79992814658,177.94461513906,191.03089573687,297.66137713807,202.52247796083
10467.8018,329.50768924303,181.24389465283,259.80302244906,169.56391937737,274.52295592463,276.92214781153,193.84221025334,179.71816150654,258.52522432702,175.61805915932,177.52743306333,190.78093565384,291.90626370559,202.07886233994
10477.8092,328.50394422311,180.65985634477,255.25375812433,169.6982638196,273.26756627276,273.00051821733,193.921005386,179.07149696776,254.6281555334,175.85872819448,178.24564063685,190.80189206451,289.12870300227,199.96461765527
10487.8167,323.67944223108,181.25426975259,253.19713704693,169.29519058072,269.17310763334,269.59479390895,192.8530620387,179.64299393553,252.41950149551,175.51997924235,177.72670683532,190.8570174038,283.0945735816,199.31524991025
10497.8241,322.07326693227,180.62709497207,248.84839905897,169.62430652564,267.46678377515,265.32089611736,193.12260123678,179.08346632621,248.64985044865,175.84874855295,178.05893619568,190.91705253074,280.45815557593,197.51896764929
10507.8316,316.34099601594,180.84900239425,246.83316719167,169.28720814209,262.79419514532,262.19827792394,192.04328745262,179.60588892435,246.62831505484,175.78911021516,177.53262040621,190.34404438767,275.66464654519,197.09737125534
