Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,
430.3207,2614.113125,194.13026788961,4804530,271,2614.43,177.9900210084,4405609,242,2614.535625,187.46596372157,4640345,249,2614.113125,186.14525839428,4606909,255,2612.95125,166.70531166626,4123956,238,2615.48625,176.46159437848,4369542,237
440.3282,2614.113125,194.52915269304,4814402,271,2614.43,177.66681480284,4397609,258,2614.535625,187.37377287602,4638063,253,2614.113125,185.84754939594,4599541,254,2612.95125,167.02352655833,4131828,224,2615.48625,176.52475567402,4371106,236
450.3356,2614.113125,194.0953169825,4803665,268,2614.43,177.53454266322,4394335,247,2614.535625,187.37086413768,4637991,260,2614.113125,185.95733160936,4602258,253,2612.95125,166.81582989732,4126690,227,2615.48625,176.03590178499,4359001,238
460.3431,2614.113125,194.55089094509,4814940,262,2614.43,177.35136554622,4389801,250,2614.535625,187.33179816588,4637024,263,2614.113125,185.54078952685,4591949,250,2612.95125,166.88265017382,4128343,225,2615.48625,175.99830385268,4358070,262
470.3506,2614.113125,194.35940846095,4810201,253,2614.43,177.32688267615,4389195,263,2614.535625,187.03930836666,4629784,248,2614.113125,185.87761121662,4600285,255,2612.95125,166.95432128709,4130116,230,2615.48625,175.75518940312,4352050,234
480.358,2614.113125,194.40013737929,4811209,271,2614.43,177.20765998707,4386244,238,2614.535625,187.15230477114,4632581,245,2614.113125,185.63000525274,4594157,249,2612.95125,167.14512086668,4134836,238,2615.48625,175.44935788709,4344477,253
490.3655,2614.113125,194.15422845368,4805123,269,2614.43,176.73230446025,4374478,233,2614.535625,186.6476790692,4620090,246,2614.113125,185.52208170027,4591486,260,2612.95125,166.60182714852,4121396,225,2615.48625,175.0949438656,4335701,235
500.3729,2614.113125,194.40349105014,4811292,263,2614.43,176.71743697479,4374110,249,2614.535625,186.78317779663,4623444,245,2614.113125,185.43977534446,4589449,251,2612.95125,167.09669334627,4133638,232,2615.48625,175.08929004119,4335561,231
510.3804,2614.113125,194.40619823023,4811359,265,2614.43,176.72030542986,4374181,242,2614.535625,186.44103745001,4614975,253,2614.113125,185.46906945735,4590174,270,2612.95125,166.66634327755,4122992,238,2615.48625,174.83381794685,4329235,245
520.3879,2614.113125,194.58099317144,4815685,296,2614.43,176.45640756303,4367649,241,2614.535625,186.51456389125,4616795,252,2614.113125,185.22485757,4584130,250,2612.95125,167.02967095157,4131980,232,2615.48625,174.8647120588,4330000,248
530.3953,2614.113125,194.35492343125,4810090,293,2614.43,176.55854072398,4370177,242,2614.535625,186.29644891528,4611396,248,2614.113125,185.34922623136,4587208,258,2612.95125,166.84162017948,4127328,232,2615.48625,174.41858492852,4318953,235
540.4028,2614.113125,194.24934340781,4807477,290,2614.43,176.23295087266,4362118,235,2614.535625,186.47311436998,4615769,248,2614.113125,184.97951432381,4578058,267,2612.95125,167.07041798044,4132988,230,2615.48625,174.42044261368,4318999,239
550.4102,2614.113125,194.34866055194,4809935,264,2614.43,176.03987556561,4357339,251,2614.535625,185.74944451178,4597856,259,2614.113125,184.86872196856,4575316,253,2612.95125,166.64261460102,4122405,227,2615.48625,174.1184072369,4311520,233
560.4177,2614.113125,194.35468099721,4810084,273,2614.43,175.85447640595,4352750,244,2614.535625,186.28784389771,4611183,244,2614.113125,185.01381874015,4578907,269,2612.95125,167.25810493977,4137631,236,2615.48625,173.93292141184,4306927,245
570.4252,2614.113125,194.1869166431,4805932,252,2614.43,176.00242404654,4356412,238,2614.535625,185.5501555367,4592923,248,2614.113125,184.94981615419,4577323,253,2612.95125,166.82593580726,4126940,241,2615.48625,173.84439867539,4304735,236
580.4326,2614.113125,194.35233746818,4810026,260,2614.43,175.60286037492,4346522,256,2614.535625,186.16579808508,4608162,252,2614.113125,185.02307163926,4579136,258,2612.95125,167.26376424933,4137771,235,2615.48625,173.57547855585,4298076,245
590.4401,2614.113125,194.48882783143,4813404,299,2614.43,175.63869586296,4347409,241,2614.535625,185.29547933584,4586619,249,2614.113125,184.85890339004,4575073,250,2612.95125,166.85875980273,4127752,224,2615.48625,173.44172522413,4294764,230
600.4475,2614.113125,194.37589397551,4810609,259,2614.43,175.5362394958,4344873,228,2614.535625,185.99773764796,4604002,252,2614.113125,184.93712877288,4577009,254,2612.95125,167.21699409815,4136614,232,2615.48625,173.10059769001,4286317,230
610.455,2614.113125,194.34102387975,4809746,267,2614.43,175.33928571429,4339998,241,2614.535625,185.4110612855,4589480,260,2614.113125,184.71235201422,4571446,249,2612.95125,166.80576441103,4126441,226,2615.48625,173.2135530248,4289114,260
620.4624,2614.113125,194.39686451978,4811128,257,2614.43,175.2295572075,4337282,236,2614.535625,185.86745041005,4600777,250,2614.113125,184.83769041173,4574548,252,2612.95125,167.19645888916,4136106,226,2615.48625,172.99729424118,4283759,251
630.4699,2614.113125,194.55711341872,4815094,265,2614.43,175.35027472528,4340270,231,2614.535625,185.27899648528,4586211,257,2614.113125,184.52491009738,4566807,255,2612.95125,166.90290241733,4128844,232,2615.48625,172.89015426864,4281106,235
640.4774,2614.113125,194.45213948038,4812496,261,2614.43,174.95240788623,4330422,234,2614.535625,185.84321092393,4600177,248,2614.113125,184.72859509475,4571848,246,2612.95125,167.36906783087,4140376,224,2615.48625,172.70402229222,4276497,232
650.4848,2614.113125,194.40777405148,4811398,259,2614.43,175.13505979315,4334943,237,2614.535625,184.99822243768,4579261,245,2614.113125,184.63226797042,4569464,266,2612.95125,167.13929986256,4134692,226,2615.48625,172.69836846781,4276357,248
660.4923,2614.113125,194.43617923957,4812101,261,2614.43,174.62322236587,4322274,232,2614.535625,185.61673332525,4594571,251,2614.113125,184.53783991272,4567127,249,2612.95125,167.11803702805,4134166,230,2615.48625,172.41240610613,4269276,234
670.4997,2614.113125,194.60418602772,4816259,267,2614.43,174.92311732385,4329697,248,2614.535625,185.18834080718,4583967,252,2614.113125,184.57820518001,4568126,251,2612.95125,166.94550893362,4129898,228,2615.48625,172.378160084,4268428,243
680.5072,2614.113125,194.37989413714,4810708,257,2614.43,174.53664350356,4320131,243,2614.535625,185.53338989213,4592508,244,2614.113125,184.70693765405,4571312,254,2612.95125,167.01406742663,4131594,229,2615.48625,172.10326306437,4261621,239
690.5147,2614.113125,194.46717039072,4812868,277,2614.43,174.83625565611,4327547,227,2614.535625,184.91548499172,4577213,251,2614.113125,184.46777647582,4565393,249,2612.95125,166.97028862479,4130511,243,2615.48625,172.29137387933,4266279,271
700.5221,2614.113125,194.38534890299,4810843,259,2614.43,174.50189883646,4319271,244,2614.535625,185.35438128712,4588077,247,2614.113125,184.73239322801,4571942,247,2612.95125,167.25616460506,4137583,235,2615.48625,172.0684516598,4260759,233
710.5296,2614.113125,194.81575013132,4821495,266,2614.43,174.63837265676,4322649,237,2614.535625,185.07514240698,4581165,242,2614.113125,184.58151844519,4568208,250,2612.95125,167.2658662786,4137823,225,2615.48625,172.34141022535,4267518,240
720.537,2614.113125,194.2115641036,4806542,264,2614.43,174.40760342599,4316937,229,2614.535625,185.21064113441,4584519,249,2614.113125,184.653076892,4569979,267,2612.95125,167.35208990218,4139956,242,2615.48625,171.68035699863,4251149,236
730.5445,2614.113125,194.89587458079,4823478,265,2614.43,174.43960084034,4317729,252,2614.535625,184.91867652406,4577292,253,2614.113125,184.43088609641,4564480,256,2612.95125,167.13533834587,4134594,222,2615.48625,171.96635974477,4258231,237
740.5519,2614.113125,194.21431168936,4806610,272,2614.43,174.19319650937,4311630,246,2614.535625,185.27713812467,4586165,257,2614.113125,184.62192411815,4569208,246,2612.95125,167.22714043172,4136865,232,2615.48625,171.38288506583,4243783,232
750.5594,2614.113125,194.60588306598,4816301,267,2614.43,174.34962831286,4315502,231,2614.535625,184.86397608371,4575938,243,2614.113125,184.40409713524,4563817,250,2612.95125,167.04927641685,4132465,227,2615.48625,171.68282045069,4251210,254
760.5669,2614.113125,194.28853691058,4808447,300,2614.43,174.06952973497,4308569,242,2614.535625,185.16200056559,4583315,255,2614.113125,184.59743828034,4568602,255,2612.95125,167.28846309322,4138382,232,2615.48625,171.37565624748,4243604,237
770.5743,2614.113125,194.8517919916,4822387,279,2614.43,174.33758888171,4315204,232,2614.535625,184.96925625177,4578544,268,2614.113125,184.37120691745,4563003,250,2612.95125,167.17018352332,4135456,232,2615.48625,171.69542040223,4251522,241
780.5818,2614.113125,194.13063154067,4804539,277,2614.43,174.09356819651,4309164,237,2614.535625,185.07187007635,4581084,249,2614.113125,184.47755464867,4565635,254,2612.95125,167.3169213356,4139086,222,2615.48625,171.35865438979,4243183,228
790.5892,2614.113125,194.64402602125,4817245,279,2614.43,174.02840174531,4307551,228,2614.535625,184.68609865471,4571535,250,2614.113125,184.20057376056,4558780,248,2612.95125,167.13291292748,4134534,228,2615.48625,171.30502382683,4241855,238
800.5967,2614.113125,194.20623055477,4806410,271,2614.43,173.7513332256,4300693,230,2614.535625,184.95923726417,4578296,242,2614.113125,184.46482686169,4565320,276,2612.95125,167.20349260247,4136280,224,2615.48625,171.06324206445,4235868,239
810.6042,2614.113125,194.91122873652,4823858,262,2614.43,174.00246444732,4306909,229,2614.535625,184.68981537591,4571627,252,2614.113125,184.29277950624,4561062,256,2612.95125,167.34731991269,4139838,227,2615.48625,171.47213472256,4245993,257
820.6116,2614.113125,194.16477433432,4805384,270,2614.43,173.88461538462,4303992,238,2614.535625,185.01155415505,4579591,246,2614.113125,184.61638854095,4569071,247,2612.95125,167.31405125718,4139015,229,2615.48625,170.75668362814,4228277,242
830.6191,2614.113125,194.8003959756,4821115,262,2614.43,174.04553167421,4307975,248,2614.535625,184.8671272169,4576016,251,2614.113125,184.29354721403,4561081,252,2612.95125,167.40609588487,4141292,241,2615.48625,171.42161376302,4244742,248
840.6265,2614.113125,194.37751020243,4810649,263,2614.43,173.86776826115,4303575,236,2614.535625,185.10431058862,4581887,255,2614.113125,184.721645319,4571676,244,2612.95125,167.31502142453,4139039,229,2615.48625,170.77461432841,4228721,226
850.634,2614.113125,194.95070507899,4824835,269,2614.43,173.89451357466,4304237,227,2614.535625,184.83824182927,4575301,245,2614.113125,184.36502484949,4562850,248,2612.95125,167.45242137602,4142438,237,2615.48625,171.07511509571,4236162,239
860.6415,2614.113125,194.14473312053,4804888,267,2614.43,173.68022786038,4298933,244,2614.535625,185.08083868622,4581306,244,2614.113125,184.77271808962,4572940,257,2612.95125,167.36648071792,4140312,225,2615.48625,170.73483563525,4227736,236
870.6489,2614.113125,194.67614853125,4818040,262,2614.43,173.79383484163,4301745,238,2614.535625,184.69809720034,4571832,257,2614.113125,184.15600630329,4557677,256,2612.95125,167.43111811788,4141911,224,2615.48625,170.8119295695,4229645,232
880.6564,2614.113125,194.06969978585,4803031,265,2614.43,173.44408532644,4293088,229,2614.535625,184.94493596736,4577942,252,2614.113125,184.55695179603,4567600,255,2612.95125,167.2530519848,4137506,242,2615.48625,170.33450448268,4217823,246
890.6638,2614.113125,194.84621600873,4822249,271,2614.43,173.69089366516,4299197,227,2614.535625,184.95588413526,4578213,245,2614.113125,184.47698896925,4565621,251,2612.95125,167.53387501011,4144453,224,2615.48625,170.89964461675,4231817,224
